店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
東池袋 大勝軒 吉祥寺,3.44,2893,175,"2023年10月

土曜日、この日は吉祥寺でラーメン活動を開始。

その1軒目。は、ここ最近気になってた「でき心」さんにて荻丸オマージュのつけそばを……………

…って...詳細を見る | ■店名
東池袋 大勝軒 吉祥寺

■場所
吉祥寺駅

■予算
〜1000円

■頼んだメニュー
・チャーシューつけ麺(少)

-----

休日13:3...詳細を見る | 2023年9月のとある平日18時過ぎに訪ねた。

吉祥寺駅から徒歩3,4分ほどの場所にあるビル地下1階のラーメン・つけ麺の店「大勝軒 吉祥寺店」。

店外の食券機で「つけ麺...詳細を見る",つけ麺、ラーメン
麺工房太田亭,3.18,482,27,"私は辛いものが苦手、なのでこのお店に施工業者の人と入って、あら坦々麺、
でも食べられないなーと思いメニューを見たら、味噌ラーメンも醤油ラーメン
もチャーハンもある。
なので醤...詳細を見る | 麺工房 太田亭@狛江
・坦々麺 1000円
・ごまつけ麺 950円
・半チャーハンセット ＋300円

小田急線・狛江駅から徒歩15分、六郷さくら通り沿いの「あいとぴあセ...詳細を見る | 約１年１ケ月振りに、狛江「麺工房太田亭」に行きました。2011年から非定期に通ってきましたが、メニューは「担々麺」一択で来ました。十数年間価格据え置きでしたが、今回インフレで100...詳細を見る",ラーメン、つけ麺、餃子
幸加,3.69,3455,164,"平日のこの日、京王線沿線の所用を済ませランチで訪問したのが「らーめん つけ麺 幸加（さちか）」

2023.3.4新規オープンで、今年度発行のTRY2023-2024 MIX新店部門２位受賞の注目店です。
店主の福盛さんは「せたが屋」で長年従事し、更に「せたが屋」系列で店名に自分の苗字を名付け...詳細を見る | ら〜めん つけ麺 幸加@千歳烏山

2024年105杯目

【食べたメニュー】
特製つけ麺

【訪問日】
2024年7月15日（月）

【混雑度】
12時07...詳細を見る | ■TRYラーメン大賞2023-2024 新店つけ麺濃厚部門優秀賞、新店MIX部門2位。
■「せたが屋」グループの「ふくもり」で長年店長を務めていた方が独立したお店。店主は寡黙で感じ...詳細を見る",ラーメン、つけ麺
めん屋 桔梗,3.30,1596,80,"市ヶ谷と九段下の間くらい(半蔵門からも歩けるけど少し遠い)にあるつけ麺をウリにしているお店です。13:15くらいで6割程度の入り。

これまで塩つけ麺、辛つけ麺と食べてきたので...詳細を見る | 会社の同僚を引き連れて来店。
おすすめは、塩つけ麺との事で券売機をポチッ
待つこと数分で着丼
麺は太めのもちっとしたタイプ
(具材) 海苔2枚、煮卵、玉ねぎ、なると、太めの...詳細を見る | 三番町にあるこちらを訪問です。
「醤油ラーメン」を注文しました。
店内には地デジが流れています。
5分ほどで提供されます。
太めなストレート麺です。
チャーシューは普通で...詳細を見る",つけ麺
元祖中華　和合餃子 岩本町店,3.45,11156,175,"「和合餃子」初体験！
軽く残業して、ちょっと寄り道して帰ろうということになり
お昼がちょっと控えめだったので「中華」が食べたいという
同僚のリクエストでコチラのお店に決定。

お店が2階にあり、下はシャッターが閉まっていて暗かったので
一度見逃して通り過ぎてしまいました。
ちょっと戻ると「和合餃子」の看板の灯りが見えました。

「餃子」の種類が色々あって迷ってしまいますが
初め...詳細を見る | 2023.06

目的地近くてタクシーを降りる。
暑い、なんて暑いんだ(-｡-;
午後イチのミッションの前に腹ごしらえする予定で降り立った場所。
本来行くつもりだったお店...詳細を見る | 平日の11時に行きました。オープンと同時でしたので誰もお客さんいません。
中国人のスタッフが永遠と中国語でおしゃべりしてます。
頼んで7分で出てきました。
3分で茹で上がりを...詳細を見る",中華料理、居酒屋、刀削麺
麺家 紫極 大泉学園店,3.49,2128,135,"京都九条ねぎラーメン 950円
⠀
この日の朝は体重が今年に入ってマイナス4kgの壁を越えたので、祝いに(？)ジャンキーなラーメンを食べに行くことに。
⠀
半年ぶりに大泉学園の紫極さんにやってきましたー。
⠀
埼玉のお店の2号店で、前回九条ネギラーメン食べたら旨すぎて、今回も同じメニュー...詳細を見る | のりほうれん草ラーメン　並　麺硬め　1,050円
味玉　100円
ライス　50円

埼玉県の家系名店！麵家紫極さんの2号店！が西武池袋線大泉学園駅前に23年に出店してから訪...詳細を見る | 行く先々で出会えるというのもラーメンの魅力のひとつかもしれない。用事があって訪れた大泉学園は紫極さんの話。さいたま新都心にある本店の支店という位置付けです。最近武蔵家系列の記事が続...詳細を見る",ラーメン
麺とおばんざいとお酒のお店 佳什,3.48,8165,175,"東京都港区新橋2-16-1 ニュー新橋ビル 1F
ＪＲ新橋駅の汽車がある方にあります。
マイレビさんの口コミを拝見し行きたいに登録していたので、土曜日の営業開始時間の11時30分にお伺いしましたが、急遽営業時間が12時からと言うので、12時7分に再びお伺いしました。
先客は男性1人と老夫婦1組...詳細を見る | この3月に退職された前任者と懇親しました。
料理も酒も美味いけど、最後の喜多方ラーメンハーフが最高の〆でした(^^)
ごちそうさまでした！
#麺とおばんざいとお酒のお店 佳什...詳細を見る | 平日金曜日、12時5分前。
そう言えば、喜多方ラーメンがあったはず…

あった！
並び５名、でも店内ガラガラ。
あら、オープン前なのね。
【今日は12時開店です】とある...詳細を見る",居酒屋、ラーメン、日本料理
FURON SAIKAN,3.30,762,15,"【2024年5月下旬訪問　アーカイブ掲載】

この日は午後イチから神田で打合せ。
ですから、その前にランチを済ませておこうと神田須田町の交差点。
最近出来た様子の中華料理店...詳細を見る | 靖国通り沿い、須田町交差点近く、
以前、KANDA GALLEY smokegrill&bar があった場所に、
2023年12月、FURON SAIKAN（福龍菜館）がオープ...詳細を見る | ランチでおじゃましました☆
新しいお店なのでピカピカでキレイです！
坦々麺推しなのかな?!
テーブルまでとても早く出て来ました。
広東麺は、テーブルに運ばれるまでかなり遅か...詳細を見る",中華料理、居酒屋、担々麺
青菜 丸の内ブリックスクエア店,3.46,10793,223,"美味しい中華ランチ。
大人気なのを知っています。
二巡目になると待つ場合があるので…。
私は12時前の一巡狙いです。
今回は前に１組だったのでラッキーと並びました。

すぐに案内。
餃子とチンジャオロースの二種ランチセット。
小さな杏仁豆腐がサービスのランチセットになります。

...詳細を見る | オーツが妻と日曜日に丸の内方面に出かけたとき、ランチを食べたのが青菜でした。
　この店には２ヶ月ほど前に行ったことがあります。
2024.1.11http://o-tsu.s...詳細を見る | 平日ランチ。
ちょっと色んな兼ね合いで、中華〈定食〉が食べたくなり、新規開拓で、と色々考えた結果、かなり前にブックマークしたままになっていたこちらに白羽の矢。
ちょっと仕事的に...詳細を見る",中華料理、飲茶・点心、担々麺
中華そば はし本,3.58,4246,186,"水天宮前駅8番出口から徒歩3分弱の場所にある人気の鶏清湯ラーメン店。当店の存在は随分前から知っていたが、先日近隣にある鷽でランチを食べた際に当店の前を通り、ちょっと気になったことから、会社帰りに後輩を誘って新規開拓をすることに。お店の前に着いたのは17時半過ぎということで、夕食にはまだ少し早い時間...詳細を見る | 近所に住む仲良し女性から突然メッセージ
「明日夜暇？ご飯たべよ！」
女性からのご飯のお誘いは嬉しく心躍る。
ただ、最近高級店に行きすぎか食費がかさみすぎている僕、テンションと...詳細を見る | 2022年の11月にオープンした『中華そば はし本』
地上29階建ての「リガーレ日本橋人形町」の1Ｆにあります。
トッピングはすべて別皿で提供するスタイル

【注文】特製醤...詳細を見る",ラーメン
中華料理 ひさご,3.13,260,22,"目的のお店が餃子のテイクアウトだけになったとのこと(T-T)
せっかく出てきたので近くに美味しいお店ないかなーと検索したらすぐ近くにこちらが

12時前お客様0
昭和の歴史...詳細を見る | 2024年1月24日（水）夕食。
1日村山で仕事。夕食は西武線途中下車。東大和市駅で下りて、用水北通りのこの中華定食屋に行った。開店の17時の少し前に着いてしまって、セブンイレブ...詳細を見る | 西武拝島線・東大和市駅近辺にて
『北京ライス』なるモノを出す中華屋があるとの事..
そういうのを探すのが大好物な変態オサーーン。
6月末の真夏日に逝ってみるのだww

駐...詳細を見る",中華料理、ラーメン、食堂
らーめん 善,3.06,148,19,"京王線めじろ台駅近くにある初めて入る店でタンメンを注文。食べログのお店の評価が余り高く無いので、期待せずにタンメンを待ちました。「はい、お待ち」とカウンターに乗せられたタンメンとご...詳細を見る | 平日の午後3時前、中休憩の閉店間際に訪問。
店内には、テーブル席に2人、カウンター席に1人いました。
店内のテレビから、オリンピックの野球中継が流れていました。食べ終わったお客...詳細を見る | もやしラーメンを頂きました。安定した味と店、という感想です。美味しかったです！駐車場空いていれば店前に2台置ける様です。詳細を見る",ラーメン
麺屋お杉,3.21,888,44,"あぶらそば750円 中盛+100 卵黄+50

すごい立地で2009年から営業されている間借りのつけ麺・あぶらそば屋さん。
キャバクラやらスナックの集合ビルの3階。

平日12:40頃店内ほぼ満席(10席くらい？)、2名並び
スナックの店内、青いライトです。
テレビで戦争の解説が流れな...詳細を見る | 普段油そばはあまり食べないんですが、こちらの油そばは美味しかったのでリピートです！


平日水曜日の11時55分。
先客3組。


前回油そばの醤油を食べたんで、今回...詳細を見る | 麺屋 お杉@五反田
『つけ麺(醤油・鰹) ¥850』

2009年オープン。昼はラーメン屋、夜はバーの2つの顔を持つ2毛作店。

甘みのある豚骨と香り高い節がガツンと効い...詳細を見る",つけ麺、ラーメン、油そば・まぜそば
華龍飯店 神田店,3.09,427,18,"ランチの主戦場である神田・御茶ノ水エリアや神保町・水道橋エリアの大陸系大衆中華料理店は、かなり行き尽くしたような思いでおり、特に職場から徒歩10分圏内のお店にはよもや取りこぼしが無...詳細を見る | 外堀通り沿い、司町二丁目交差点近くに、2023年2月、
本場大衆系の中華やさん華龍飯店がオープンしました。
以前は、同じような赤い看板の中華屋さん楽宴があった場所です。

...詳細を見る | 外堀通り沿いにあった楽宴が閉店し、
当店がオープンしたようなので行ってみました。

外の看板メニューを見てみると、
ランチは定食より麺類のほうが種類が多いです。
麺がウリ...詳細を見る",中華料理、居酒屋、ラーメン
松屋,3.31,757,46,"今日は、滅多に乗車することがない八高線に乗って「箱根ヶ崎駅」へやってきました。所用を済ませて自家製手打ち麺の中華そばを提供する『手打中華そば 松屋』を訪れました。

食べログでは1951年創業となっていますが、他の文献では1947年・1948年など諸説あります。うどんのように足で踏む麺は切り方が...詳細を見る | 【recommended by Ono-chan@箱根ヶ崎】
知る人ぞ知る東京のある意味最果ての駅　八高線の箱根ヶ崎駅
ここに我らがOno-chanの『一生食べ続けられる中華そ...詳細を見る | 手打ち中華そば松屋 さんにて
【チャーシューメン】を堪能(⁠*⁠˘⁠︶⁠˘⁠*⁠)⁠.⁠｡⁠*⁠♡

昨夜は沢山食べ＆呑んだせいか
今日はアッサリ系が食べたいなと
祝日だ...詳細を見る",ラーメン
マグロ卸のフィッシャリーズテラス,3.49,24587,424,"勝どき駅から15分ほどの「マグロ卸のフィッシャリーズテラス」。
東銀座にあった「ウミノイロ」と同じ経営で、「ウミノイロ」は5月22日からこちらの店舗内に移転となっています。

11時から16時まではセルフの海鮮丼営業。
16時以降はテーブルオーダーのカジュアルダイニングとして営業しています。...詳細を見る | 都営大江戸線の勝どきから歩いて１５分。。。
歩くのが嫌という方は巡回バスが２０分に１本でてます。（１００円）

こんなところにこんなお店が。。。
意外な場所にあってびっくり...詳細を見る | 日曜日10:30過ぎに訪問
先客5～6組

勝どき駅からなかなか歩きますので
歩くの嫌いな方はバスをオススメします

券売機にて食券を購入
プレモル(中瓶)700円
...詳細を見る",海鮮丼、カフェ、ラーメン
らーめん 尾又家,3.56,2775,188,"今日のランチは京王八王子駅前にある『らーめん尾又家』にて特製ラーメン並（1050円）を麺カタでいただきました。

土曜日11時開店5分で、並びは8名。カウンター12席の1周期目には着席、10分程で着丼。提供は早いですし、店主さんが常に一杯ずつ、丁寧に笑顔で提供する接客は、お客さんも自然と笑顔にな...詳細を見る | ネギラーメン(並)950円とまかないの頭150円を注文しました！ライスは終日無料と学生や社会人にとても優しいです！普段は、ラーメン(並)850円とまかないの頭150円でピッタリ10...詳細を見る | 「京王八王子駅」すぐ近くにある大人気家系ラーメン店。

駅前にあって11時〜24時まで営業（16時から1時間ほど中休み、通し営業になるかも）、終日ライス無限食べ放題。“京八”よ...詳細を見る",ラーメン
札幌本舗,3.28,1136,107,"西新宿での夕食。
新宿アイランドタワーアトリウムの地下一階にあるお店です。

店名が渋いです。
外観も地味です。
隣に一風堂があるので、 よけいに目立たないラーメン屋さんです。

20時ごろの入店で、先客10名弱、後客1。

店内は昔ながらの中華屋さんといった雰囲気です。
思った...詳細を見る | ☁【二度目の新宿】新参者（仮）西新宿6丁目新宿アイランドタワー『さっぽろラーメン札幌本舗』二度目の新宿
 この街では、ただの新参者です

きょうからの京都出張が中止になり、水...詳細を見る | 新宿アイランドタワービルの地下１階にあるラーメン店です。

お店はオフィスビルの地下の飲食店街にテナントとして入りますが、こちらでの営業が長そうな雰囲気がありますね。
有名店...詳細を見る",ラーメン、中華料理
大泉らーめん,3.12,385,26,"淡麗醤油ラーメンめちゃくちゃ好みでした
中国？の方が営むお店ですが町中華寄りです
中華のコースもありながら日本風の定食や居酒屋メニューもあり、色々楽しめました。
リーズナブル...詳細を見る | 居酒屋利用も出来るラーメン屋さん
壁にいろんなメニューが
口頭で注文、後会計
14分で提供　蓋までされて熱々
チャーシューに隠れてるけど玉子も落とされてる
特に主張もない...詳細を見る | 大泉学園駅の周辺に美味いラーメン屋が増えたせいで足が遠のいていたものの、練馬区paypay20%還元の対象店ということで大泉らーめんへ15年ぶりに訪問。
たまには変わったメニュー...詳細を見る",ラーメン、つけ麺、餃子
つなぎ,3.59,39755,1097,"ラーメン屋さんがよく入ってる恵比寿のアーバンハウスビルにありました、つなぎさん

なんとなく入ってみたんですが、なかなか雰囲気のあるお店で、
味噌ラーメンに力を入れてるみたいです。味噌ラーメン、味噌つけ麺や担担麺やカレー系など、ほぼ味噌がからみます。
まずは初めてだったので、オーソドックスに味噌ラーメンを注文しました。

８分ほどで着丼です。
盛り付けはキレイです。トッピングはもやし...詳細を見る | GWの土曜日22:25頃、仕事終わりに訪問しました。カウンター2席が空いていたのですぐに入れて、IC精算でお伝えして券売機では無く、カウンターからオーダーしました。PayPayでお支払いたしました。

【オーダー】
つなスペ味噌ラーメン　1,200円→私分
辛味噌ラーメン　1,000円 ※2...詳細を見る | 《おすすめpoint》
◉味噌ラーメンが好きな方！
◉恵比寿でラーメン屋さんをお探しの方！
◉おひとり様/友人/飲んだ〆ラーメンに！

今回2回目の来店！！
無性に味噌...詳細を見る",ラーメン
担担担 渋谷ストリーム店,3.09,296,12,"渋谷ストリーム1階、渋谷川沿いにある立ち飲み屋さん「カクウチ・ベース」のランチタイムを間借りするかたちでオープンした汁なし担々麺専門店「担担担」。比較的人通りも多い場所だが、まだ認...詳細を見る | 初訪　202403（No.5225）
１．訪店目的
・当日は渋谷エリアでのネタ拾いで、ランチのお店としての選店

２．お店の情報
・食べログのジャンル：汁なし担々麵
・...詳細を見る | カテゴリ:【東京】ラーメン☆渋谷ランチ
朝からの強風で立て看板が凶器の様に飛んでいる。
これは危ないと思い、乱れ飛ぶ看板やポスター、のぼりなどを拾い集めていると・・
店内から...詳細を見る",汁なし担々麺
立川や,3.48,3593,278,"梅雨にはいったのかも分からないのに
真夏のように暑い日。

いくつかの店を見て周りますが、
琴線に触れるものがなく、
暑いけど熱いラーメンでいいかとこちらへ。

立川駅南口を出てすぐのところにあります。

12時半ごろの入店で、先客10名弱、後客5,6。

店内はカウンターのみ...詳細を見る | 目茶苦茶暑い日だったので駅チカグルメで探して豚骨系のメニューは未食だったので再訪。
特製豚骨つけ麺¥1,480大盛り無料を注文。土曜日の11時ちょい位でしたが、先客多数。出る時は...詳細を見る | 本日もかっとばしてまいりましょう。コメントじゃんじゃんどうぞ励みになります。

東京都立川市、立川駅から徒歩1分のところにあります、立川やさんに御邪魔しました。
10時30分...詳細を見る",ラーメン、つけ麺
ラーメン＆酒バル 麺屋一燈,3.13,344,23,"水道橋駅西口から後楽園ブリッジを渡ったところ、
東京ドームシティに入ってすぐ左側、黄色いビルの２階に、
2024年6月、『FOOD STADIUM TOKYO』が開業しました。...詳細を見る | 以前、小岩の方の麺屋一燈に行っていて、さすが名店の美味しさだと思っていた一燈が後楽園に出店していた。
黄色いビルとあったけど、JRAの場外馬券場だったよな～と思っていたら、かなり...詳細を見る | 休日の昼に訪問しました、こちらは6月末に新規オープンしたフードコートの一角
都市対抗野球観戦後に寄りました

平日夕方はガラガラでしたが、この日は施設内激混みです
なんとか...詳細を見る",ラーメン、バル
麺屋 願月,3.08,94,17,"↑を頂きました(^-^) オープン当初は半額セールをやっていて凄い行列だったので、今回が初訪です。

ワタクシ…メニュー数が多いラーメン屋さんは信用出来ないと…(町中華は別物で...詳細を見る | ◆店舗情報・総合満足度◆
《店内清潔感雰囲気》76点
カウンター9席のみの狭い店内。居抜きの店だからか清潔感は新店ながらそこまでキレイとは言えない。
《サービス》78点
接...詳細を見る | JR山手線　駒込駅徒歩1分

麺屋　願月　初来訪！

2024年6月のオープン直後は並んでいたので気になっていました。

日曜日の21時過ぎに訪問。
先客は1人、
...詳細を見る",ラーメン
麺屋 大和田,3.41,2677,130,"仕事終わりのラーメン
暑い時期は塩分多めのラーメンを体が欲しています。。

渋谷駅から徒歩2分。。
駅近もありがたい！！

混み合った道から外れているので行きやすいです...詳細を見る | 大和田ラーメン ¥800
中盛り ¥100
味玉 ¥100
キャベチャー ¥150
★★★★★★★☆☆☆
色々と忙しない感じの大和田さん。こちらは麺屋大和田、元あった立地...詳細を見る | 家系+魚介の旨味抜群。一杯で完成された逸品。

東急プラザ裏〜渋谷マークシティの間の路地、博多天神やとり竹のある通りに位置するラーメン屋さん。

今回頼んだ大和田醤油ラーメ...詳細を見る",ラーメン、油そば・まぜそば
武蔵家 千歳烏山店,3.43,1797,150,"千歳烏山駅前にお店を構える家系ラーメン屋さん✨

武蔵家は、いくつか店舗があるのですが、どの店舗を訪問しても必ず美味しいラーメン屋さん✨

個人的なおすすめカスタマイズは、...詳細を見る | 千歳烏山の武蔵家に行ってきたのでレビューしたいと思います。


どうも！みなさん！おはこんばんにちは！お初のお方は初めまして！
ワールドワイド・シュバルツ・ネッシー１６世と...詳細を見る | 8投稿目です。

家系チェーン個人的最強！
思い出の味

■店名
武蔵家　千歳烏山店
⁡
■アクセス
東京　京王線千歳烏山駅から徒歩3分
⁡
■メニュー
ラ...詳細を見る",ラーメン
ラーメン魁力屋 多摩ニュータウン通り店,3.26,530,58,"多摩ニュータウン通り沿いの下り側にある、京都ラーメンチェーン「魁力屋」の永山店。
駐車場が適度に広く、店内は奥まで続くカウンター席とテーブル席が適度にありすぐ座れます。

京都定番の背脂醤油ラーメンを基本とし、味噌ラーメンや限定ラーメンなど色々あります。
サイドメニューとして餃子や炒飯なども...詳細を見る | 夕飯にラーメンが食べたくなりやってきました。
ファミリーには少し遅い時間帯、待たずに広いテーブル席に着席できました。
相方　コク旨ラーメンと焼きめし餃子定食
ワタシ　特製担々...詳細を見る | 「特製醤油味玉らーめん大盛り(¥1034)」をチョイスです。麺はふつう。背脂も普通でお願いしました。さっしーのつぶれないで出てたので食べてみました♪

†o(・ω・) ｱｰﾒﾝ...詳細を見る",ラーメン、餃子、油そば・まぜそば
OKUDO 東京 荒木町店,3.47,8212,116,"調べなければ絶対に分からないような路地の中にあるお店。場所柄かお客さんが少ない。
内装はカフェのよう。小さな店内で座席数が少なく、空間が限界まで広々と使われている感じ。

料...詳細を見る | 久しぶりです　荒木町のオクド
　気軽に楽しめる　中華料理です

コロナ禍では、少し自粛ー空いていたの
　ですが、本日は結構と混んでいて、
　カウンターに座ります。

...詳細を見る | 2021/9
ラーメン『OKUDO』✨✨
本格的担々麺が名物のラーメン店。「どこにでもあるようなラーメン店かな？」と思いつつも、【純レバー丼】なるメニューに惹かれて訪問すること...詳細を見る",担々麺、アジア・エスニック、居酒屋
なりたけ TOKYO 錦糸町店,3.58,19965,841,"愛しき錦糸町、サウナを楽しむために何度も足を運ぶ街。サウナの熱気とともに、この街にはもう一つの魅力が広がっている。それは、美味しい飲食店の数々だ。錦糸町には数多くのレストランや居酒屋がひしめいているが、その中でも特に心を奪われるのが、一軒のラーメン屋である。

その店に足を運ぶたびに、ついつい吸...詳細を見る | 最寄りはJR　錦糸町駅　徒歩3分くらい

背脂を摂取したくなり会社帰りに訪問。

お店は昼はよく並んでいるイメージ。
今回も20時近くでもタイミングによっては並びが出来る...詳細を見る | 仕事の予定で錦糸町に行ったのでついでにこちらへ。

なりたけさんを見ると昔を思い出す。
なんなら外食としてまともに意識して食べたラーメンとしては初めての店舗では無いかな？と思...詳細を見る",ラーメン、つけ麺、餃子
赤坂 四川飯店,3.71,53787,1233,"再訪しました。
初めてのディナー使用

相変わらずのクオリティでした。
アレルギーのある人向けの卵抜きチャーハン

貝柱をしっかりと活用した技を見ました。

コース料理も全てにおいて安定感抜群の
品が続きました。

唯一海老チリの殻が少し食べ辛かった事くらいで、これがアダルトな料理ということなのでしょう。

とにかく居心地が良いお店

年に一度は家族で訪れたいと思いま...詳細を見る | 今日は久しぶりの食事会。
四川飯店さんで現在お店では提供していない秘伝&幻の醤と今の醤を使っての食べ比べ。
僕は四川飯店さん自体久しぶり。
最初の写真はその食べ比べした海老のチリソースです。

*前菜盛り合わせ・茹で鶏・ホルモン辣油和え・野菜の漬物
右から皮パリで身はジューシーな高原地鶏...詳細を見る | 1年半振りに「赤坂 四川飯店」さんを訪問。

前回、去年1月来店時には健在だったと思いますがその後に鬼籍に入られた陳建一さんの冥福をお祈りします。

現在は息子さんの陳建太...詳細を見る",四川料理、担々麺、中華料理
新福菜館 秋葉原店,3.49,31790,979,"秋葉原で仕事だったので、数年ぶりに訪問。
丁度12時頃に並んで、外待ち6名ほど。
配膳のタイミングもあり、着席まで20分くらい待ちました。
ただ着席後は5分ほど着丼です。
中華そば(並)と焼きめし(小)セット1100円。

この真っ黒なスープが、意外と濃くなくて、丁度良い塩梅の醤油味です...詳細を見る | 小川町駅で「ekibana」の後は
神田明神へお参りし秋葉原でお昼ご飯。
「新福菜館」さんへ行きました。
京都発祥のお店で東京にも3店舗ほどあるみたい。

１３時過ぎでし...詳細を見る | こちらのお店の「焼きめし」の写真に魅せられてしまった。
良く口コミを拝見しているレビュアーの方の写真だったと思う。

全身に媚薬のようなオイルを纒った､引き締まっているがグラ...詳細を見る",ラーメン
寿限無 担々麺 上野店,3.54,6943,272,"いわゆる中華の担々麺ではなく、
ちょい和風テイストの入った担々麺。
銀座あたりに数店舗展開する「はしご」と
ほぼ同じメニューが多く。
何故？と思ったら、元々「はしご」に居た...詳細を見る | 初訪　202405（No.5452）
１．訪店目的
・当日は御徒町エリアでのネタ拾いで、
　ディナーのお店としての選店

２．お店の情報
・食べログのジャンル：汁なし担...詳細を見る | 写真を見る限り、はしごのダンダンメンと
見た目がそっくりです。味はどれくらい違うのか、
平日の夕方に試しに訪問しました。

メニューは若干違う点もあるようですが、
ラ...詳細を見る",汁なし担々麺、ラーメン、中華料理
横浜家系ラーメン 赤家,3.07,149,16,"∥Memu∥
『黒ラーメン』920円

≪ POINT ≫
☆駅チカ！お花茶屋駅より徒歩一分
☆25時まで営業！飲み会後の締めの一杯に！

☆黒ラーメン
店主のオス...詳細を見る | 巓さん定例訪問。
堪能した後は、環七を北上してお花茶屋へ。
つづいては、赤家さんへ行ってきました。

駅から３０ｍ位という至近距離。
曳舟川親水公園通りに面しております。...詳細を見る | お花茶屋　徒歩1分　赤家　1月10日新規オープン
14時頃来店
先客2名　醤油ラーメン750円

お花茶屋に最近ラーメン屋が増えてきました。
以前雑賀って店があったとこに...詳細を見る",ラーメン
バンブー,3.17,2185,75,"大手町ビルヂング地下レストラン街にある町中華です。
10年ぶりに初めて夜に入ってみました。
というのはハッピーアワーでビールが安くて、「当店の鶏肉唐揚げは築地鳥藤さんの国産鶏肉使用」と書いてあったので、鳥藤の鶏肉なら美味いだろうと思ったからです。
店内は広いので、そこそこお客さんは入っていましたが、大きいテーブルが余裕で空いている。

早速、お目当ての鶏肉唐揚げとすぐに出るピリ辛胡瓜にハ...詳細を見る | ローテーション用の店は一応揃ったのだが、冷静に考えてみれば4月以降も同じように東京で勤めているとは限らないなと思い立ち、どうせなら行ける範囲で行き尽くしておこうと方針を変えた。
...詳細を見る | 13:28トンテキ定食があることを確認してから入店。
待ちはない。

３日連続パスタに振られる。笑

トンテキ定食（1,000円）をジンジャーで注文。
ハニーマスタード...詳細を見る",中華料理、ラーメン、居酒屋
soba MAREN 渋谷店,3.46,3699,110,"オープン時に行ったので2度目の訪問です。
前回しょうゆまぜそばを食べたので、
今回は鷄塩まぜそばをオーダー！
私はしょうゆより鶏塩派でした✨

■ 鷄塩まぜそば 大葉オイル / 1050円
■ 出雲卵の味玉トッピング / 150円
味玉トッピングはおすすめです！

大葉オイルや塩ダ...詳細を見る | 仕事が休みの平日
塩気のある汁物が食べたい、となり、お邪魔しました。
大阪からはじまったお店なんですね＾＾
それでは店外の券売機でぽちっとな。※支払いは電子決済等のみでした。...詳細を見る | 【総評】
インスタでたまに見るまぜそばのお店です。チャーシュー増しがオススメっぽいけど、そこまでのこだわりがあるように思えないのでデフォルトにしました。
程なくして着丼したまぜ...詳細を見る",油そば・まぜそば、ラーメン
チャイナ厨房 亀戸駅前店,3.29,1813,93,"天気がよかった休日の日、せっかくなのでお散歩をしに、いつも行かない場所に行ってみました。亀戸天神です。
ちょうど菊の催しをやっている、ということでしたが、思ったより小規模でした。...詳細を見る | 日曜日の昼に訪問。
無性に酸辣湯麺が食べたく、こちらへ。

数回訪問したことありますが、中華激戦エリアの亀戸で特に良いお店だと思っています。
何食べても美味しいです。

...詳細を見る | 亀戸の十三間通り商店街にある中華料理屋さんです！
まだお腹に余裕があったし、ランチが結構安かったので利用してみました

普通の大陸系のこじんまりした中華料理屋さんかと思いなが...詳細を見る",中華料理、居酒屋、ラーメン
豚山 大塚店,3.44,3357,220,"豚山アプリのお知らせ (2024年1月23日配信) に「肉あぶらリニューアル」が掲載されていたことに今さらながら気づき、味を確認しに行ってきました。

「肉あぶら」って、野菜マ...詳細を見る | タイトル「久々の奴氏忘年会で初味噌」

　学生時代からの友人である奴氏と久しぶりの忘年会です。大塚にて野暮用を済ませ、11時になったので豚山さんへ。

　こちら豚山さんは二...詳細を見る | そろそろ冷やし中華が終わってしまいそうな気がするので、
今年最後に食べておこうとお仕事帰りに訪問しました。

店に着いたのは２０時前。
ほぼ満席だったが空席もあったので待た...詳細を見る",ラーメン、つけ麺
福しん 新大久保店,3.02,421,38,"2022年10月
JR新大久保駅から5分

新大久保なのに中華、周りは韓国料理店ばかり
店内は外国人留学生らしき人やその辺のおっさにおばさ達
どうやらここのお店は地元の人...詳細を見る | 大久保店と新大久保店が存在する上にどちらも大久保通り沿いにある福しん。新大久保店は大久保通りの南側、大久保店は北側にあり600mしか離れていない。行ってみたら、作りといい雰囲気とい...詳細を見る | ◆ ラーメン登録軒数6594軒目
• 2024年15杯目


◆ 福しん 新大久保店
( 東京都新宿区大久保 )

◆ おともラーメン
¥ 130


● Ins...詳細を見る",ラーメン、食堂
博多天神 お茶の水１号店,3.48,4215,420,"豚骨ラーメン屋の冷やし中華ですが、豚骨は全く関係ない(笑)
普通の、酸味のあるタレがかかった冷やし中華です。
ですが、普段はコンビニなどでも冷やし中華はチョイスしませんが、ここ...詳細を見る | JR御茶ノ水駅聖橋口を出てすぐの右側にあります。
黄色いテントに､赤い提灯､店内が丸見えな造り､分かりやすいかと思います。
カウンターだけの店内は､ちゃっと食べて､電車で帰る。...詳細を見る | はじめて博多天神をたべたのは大学生の頃か
新宿だったように思います。

ホープ軒
なんでんかんでん
弁慶
かおたん
赤坂ラーメン
じゃんがら
桂花
ジローはKO...詳細を見る",ラーメン
